,event_type,source_node_type,relation_type,target_node_type,relation_label
0,IssuesEvent,Issue,EventAction,Actor,EventAction::label=OpenedBy
1,IssuesEvent,Issue,EventAction,Repo,EventAction::label=CreatedIn
2,IssuesEvent,Issue,Reference,UnknownFromBodyRef,Reference::label=unknown
3,IssuesEvent,Issue,EventAction,Actor,EventAction::label=ClosedBy
4,IssuesEvent,Issue,EventAction,Actor,EventAction::label=LabeledBy
5,IssuesEvent,Issue,EventAction,Actor,EventAction::label=ReopenedBy
6,IssueCommentEvent,IssueComment,EventAction,Actor,EventAction::label=OpenedBy
7,IssueCommentEvent,IssueComment,EventAction,Issue,EventAction::label=CommentedOnIssue
8,IssueCommentEvent,IssueComment,EventAction,PullRequest,EventAction::label=CommentedOnIssue
9,IssueCommentEvent,IssueComment,Reference,UnknownFromBodyRef,Reference::label=unknown
10,PullRequestEvent,PullRequest,EventAction,Actor,EventAction::label=OpenedBy
11,PullRequestEvent,PullRequest,EventAction,Repo,EventAction::label=PulledRepoFrom
12,PullRequestEvent,PullRequest,EventAction,Repo,EventAction::label=PulledRepoTo
13,PullRequestEvent,PullRequest,EventAction,Branch,EventAction::label=PulledBranchFrom
14,PullRequestEvent,PullRequest,EventAction,Branch,EventAction::label=PulledBranchTo
15,PullRequestEvent,PullRequest,Reference,UnknownFromBodyRef,Reference::label=unknown
16,PullRequestEvent,PullRequest,EventAction,Actor,EventAction::label=ClosedBy
17,PullRequestEvent,PullRequest,EventAction,Actor,EventAction::label=ClosedBy
18,PullRequestEvent,PullRequest,EventAction,Actor,EventAction::label=MergedBy
19,PullRequestEvent,Branch,EventAction,Branch,EventAction::label=MergedTo
20,PullRequestEvent,PullRequest,EventAction,Commit,EventAction::label=MergedAs
21,PullRequestEvent,PullRequest,EventAction,Actor,EventAction::label=LabeledBy
22,PullRequestEvent,PullRequest,EventAction,Actor,EventAction::label=ReopenedBy
23,PullRequestReviewEvent,PullRequestReview,EventAction,Actor,EventAction::label=CreatedBy
24,PullRequestReviewEvent,PullRequestReview,EventAction,PullRequest,EventAction::label=CreatedIn
25,PullRequestReviewEvent,PullRequestReview,EventAction,Branch,EventAction::label=ReviewedOnBranch
26,PullRequestReviewEvent,PullRequestReview,Reference,UnknownFromBodyRef,Reference::label=unknown
27,PullRequestReviewCommentEvent,PullRequestReviewComment,EventAction,Actor,EventAction::label=CreatedBy
28,PullRequestReviewCommentEvent,PullRequestReviewComment,EventAction,PullRequestReview,EventAction::label=CommentedOnReview
29,PullRequestReviewCommentEvent,PullRequestReviewComment,Reference,UnknownFromBodyRef,Reference::label=unknown
30,PushEvent,Push,EventAction,Actor,EventAction::label=AddedBy
31,PushEvent,Push,EventAction,Branch,EventAction::label=AddedTo
32,PushEvent,Push,EventAction,Commit,EventAction::label=CommittedAs
33,PushEvent,Branch,EventAction,Commit,EventAction::label=UpdatedWith
34,PushEvent,Push,Reference,UnknownFromBodyRef,Reference::label=unknown
35,CommitCommentEvent,CommitComment,EventAction,Actor,EventAction::label=AddedBy
36,CommitCommentEvent,CommitComment,EventAction,Commit,EventAction::label=CommentedOnCommit
37,CommitCommentEvent,CommitComment,Reference,UnknownFromBodyRef,Reference::label=unknown
38,ReleaseEvent,Release,EventAction,Actor,EventAction::label=PublishedBy
39,ReleaseEvent,Release,EventAction,Tag,EventAction::label=PublishedOnTag
40,ReleaseEvent,Release,Reference,UnknownFromBodyRef,Reference::label=unknown
41,ForkEvent,Repo,EventAction,Actor,EventAction::label=AddedBy
42,ForkEvent,Repo,EventAction,Actor,EventAction::label=OwnedBy
43,ForkEvent,Repo,EventAction,Repo,EventAction::label=AddedTo
44,CreateEvent,Branch,EventAction,Actor,EventAction::label=CreatedBy
45,CreateEvent,Branch,EventAction,Repo,EventAction::label=CreatedIn
46,CreateEvent,Branch,EventAction,Branch,EventAction::label=BasedOnBranch
47,CreateEvent,Tag,EventAction,Actor,EventAction::label=CreatedBy
48,CreateEvent,Tag,EventAction,Branch,EventAction::label=CreatedOnBranch
49,CreateEvent,Tag,EventAction,Commit,EventAction::label=CreatedOnCommit
50,DeleteEvent,Branch,EventAction,Actor,EventAction::label=DeletedBy
51,DeleteEvent,Tag,EventAction,Actor,EventAction::label=DeletedBy
52,GollumEvent,Gollum,EventAction,Actor,EventAction::label=AddedBy
53,GollumEvent,Gollum,EventAction,Repo,EventAction::label=AddedTo
54,MemberEvent,Actor,EventAction,Actor,EventAction::label=AddedBy
55,MemberEvent,Actor,EventAction,Repo,EventAction::label=AddedTo
56,PublicEvent,Repo,EventAction,Actor,EventAction::label=MadePublicBy
57,WatchEvent,Repo,EventAction,Actor,EventAction::label=StartedBy
58,IssuesReactionEvent,Issue,EventAction,Actor,EventAction::label=ReceivedReactionFrom
59,IssuesReactionEvent,PullRequest,EventAction,Actor,EventAction::label=ReceivedReactionFrom
