referenced_entity_type,count,proportion
GitHub_Service_External_Links,1653971,0.44128510666000015
PullRequest,671210,0.17908111837587157
Actor,475194,0.1267833807087259
Issue,279167,0.07448270820404485
Commit,254870,0.06800018569517496
GitHub_Files_FileChanges,193138,0.05152987744652059
Repo,73996,0.019742385297210997
GitHub_GenSer_Other_Links,56082,0.014962868969108967
GitHub_Other_Service,32792,0.008749017496434173
Branch_Tag_GHDir,24079,0.006424359364986534
IssueComment,13230,0.003529809144847039
PullRequestReview,8074,0.002154170750982237
Gollum,5695,0.001519445433099311
PullRequestReviewComment,3745,0.0009991787790969132
Release,1949,0.0005199998505900891
Branch,581,0.0001550127825514837
Tag,300,8.004102369267662e-05
CommitComment,5,1.3340170615446104e-06
