category_label,num_nodes,num_edges,density,avg_degree,max_degree,min_degree,avg_clustering,avg_path_length,lcc_size,lcc_coverage,num_components,intra_community_ratio,num_communities,modularity,assortativity,diameter
Relational,3012,4017,0.0004429310324295644,2.6673306772908365,364.0,1.0,0.055929712835212524,3.792482940501727,2974,0.9873837981407703,12,0.8448836627470603,33,0.7569419275437712,-0.1362710982040821,8.0
Document,1288,1473,0.0008886041494737147,2.2872670807453415,152.0,0.0,0.025263991961099515,4.557855977627592,1226,0.9518633540372671,18,0.9067392784206944,39,0.8216153468640455,-0.07365905488130312,10.0
Key-value,862,1007,0.0013568100546766156,2.336426914153132,230.0,1.0,0.02879362614515798,4.129900558949695,785,0.9106728538283063,17,0.8995024875621891,31,0.821669315759051,-0.11088617150574204,11.0
Time Series,629,743,0.0018809555152754854,2.3624801271860094,189.0,1.0,0.05547325497018374,3.764912460063898,626,0.9952305246422893,2,0.8866396761133604,12,0.7937841399707586,-0.12263616680206792,8.0
Graph,459,543,0.0025829837029426035,2.366013071895425,91.0,1.0,0.027064159377982424,4.2642513508268385,443,0.9651416122004357,7,0.9132841328413284,18,0.7275772452878726,0.05733114349330702,9.0
Vector,429,456,0.0024834978106006143,2.125874125874126,179.0,1.0,0.0,3.589535740604274,414,0.965034965034965,6,0.9407894736842105,14,0.7609833531376838,-0.0897756615539955,8.0
Search Engine,408,412,0.002481090716384834,2.019607843137255,307.0,1.0,0.0,2.7939851616322207,408,1.0,1,0.9902912621359223,3,0.058046747681868405,-0.1592023661772343,4.0
Object Oriented,389,410,0.002716455092359473,2.107969151670951,140.0,1.0,0.0,3.4481008132987756,335,0.8611825192802056,10,0.9512195121951219,16,0.6345431434196411,0.0004729518320602976,7.0
Wide column,315,342,0.003457688808007279,2.1714285714285713,118.0,1.0,0.00849269362501521,3.7234993214323,310,0.9841269841269841,2,0.9210526315789473,9,0.7561383216084405,-0.06669133758783359,8.0
RDF,140,144,0.0073997944501541625,2.057142857142857,80.0,1.0,0.0,3.021514883583849,117,0.8357142857142857,6,0.9722222222222222,8,0.7456659511855648,-0.008338372837994735,6.0
Native XML,102,105,0.01019219569015725,2.0588235294117645,93.0,1.0,0.0,2.3063482818870122,102,1.0,1,0.9714285714285714,2,0.11429087052336392,-0.2811833065637791,4.0
Spatial,73,74,0.014079147640791476,2.0273972602739727,61.0,1.0,0.0,2.131934731934732,66,0.9041095890410958,2,0.9864864864864865,3,0.32648077908418033,-0.13226256554061636,3.0
Hierarchical,65,69,0.01658653846153846,2.123076923076923,44.0,1.0,0.0,2.7634615384615384,65,1.0,1,0.9420289855072463,2,0.08321262169221222,-0.09206151126798744,4.0
Array,64,64,0.015873015873015872,2.0,45.0,1.0,0.0,1.9545454545454546,44,0.6875,4,1.0,4,0.15241632889336304,,2.0
Event,27,27,0.038461538461538464,2.0,25.0,1.0,0.0,1.9166666666666667,24,0.8888888888888888,2,1.0,2,0.0031766120369705435,,2.0
Content,6,6,0.2,2.0,7.0,1.0,0.0,1.6666666666666667,6,1.0,1,1.0,1,0.0,,2.0
Columnar,1,1,0.0,2.0,2.0,2.0,0.0,0.0,0,0.0,1,1.0,1,1.1102230246251565e-16,,0.0
Multivalue,1,1,0.0,2.0,2.0,2.0,0.0,0.0,0,0.0,1,1.0,1,0.0,,0.0
