repo_id,repo_name,latest_repo_name,i_pr_rec_cnt,missing_status
402945349,,StarRocks/starrocks,174290,all
28449431,,scylladb/scylladb,59923,all
55072677,,weaviate/weaviate,9127,main
26127968,,OpenAtomFoundation/pika,5837,all
496505424,,CeresDB/ceresdb,5092,main
202483348,,apache/kvrocks,4809,all
254418044,,tigerbeetledb/tigerbeetle,4609,all
304530333,,featureform/featureform,4580,all
254418044,,tigerbeetle/tigerbeetle,4255,all
501460708,,stoneatom/stonedb,3897,all
202483348,,apache/incubator-kvrocks,2842,all
148087762,,georgia-tech-db/evadb,2727,main
40127179,,FeatureBaseDB/featurebase,2107,all
668673665,,FalkorDB/FalkorDB,1997,all
63110867,,vaticle/typedb,1691,all
543276238,,tursodatabase/libsql,1634,main
160784930,,nutsdb/nutsdb,1493,all
516821813,,hydradatabase/hydra,769,all
48617634,,orbitdb/orbitdb,667,major
660776503,,getretake/retake,502,minor
318972528,,rosedblabs/rosedb,451,major
49670957,,eclipse-rdf4j/rdf4j,448,minor
191676087,,lindb/lindb,368,all
88777477,,nitrite/nitrite-java,332,all
496505424,,CeresDB/horaedb,272,major
195895847,,isar/hive,145,minor
606433492,,auxten/chdb,85,minor
528766495,,TuGraph-db/tugraph-db,64,minor
606800919,,firstbatchxyz/HollowDB,63,minor
580788054,,alanshaw/pail,49,all
34533675,,apache/incubator-sedona,37,minor
5665061,,radareorg/sdb,35,all
318972528,,flower-corp/rosedb,27,all
660776503,,paradedb/retake,21,minor
660776503,,retake-earth/retake,14,minor
661663226,,maxnowack/exodb,12,minor
660776503,,retake-earth/connect,11,minor
138411034,,chaisql/chai,8,minor
10081109,,rax-maas/blueflood,7,all
8313554,,Lazer-Database/Lazer-Database,7,all
597066476,,tontinton/dbil,6,minor
95070401,,DevrexLabs/memstate,4,all
150149024,,BlazingDB/blazingsql,3,all
639434928,,cfu288/LokiJS,3,minor
223462217,,ResilientEcosystem/resilientdb,3,minor
234091935,,00000o1/sirdb,2,all
42580991,,TIBCOSoftware/snappydata,1,all
157514605,,distributedio/titan,1,all
223462217,,apache/incubator-resilientdb,1,minor
